username,full_name,id,city,country_code,followers_count,permalink_url,avatar_url,verified,last_modified,kind
OlaKeAseSoy♥SinayPaohla♥,Sinay Paohla,9982680,Jerusalen,IL,580,https://soundcloud.com/sinay-paohla,https://i1.sndcdn.com/avatars-000143744353-j6oaee-large.jpg,False,2015-05-02T23:35:58Z,user
Kaiv✰カイブ,Kaiv ✰,17493539,,MX,2169,https://soundcloud.com/kaiv-shizue,https://i1.sndcdn.com/avatars-000394704255-dncndt-large.jpg,False,2018-02-05T02:33:14Z,user
Anko San,Anko Mitarashi,10431290,,,729,https://soundcloud.com/jm-ank5,https://i1.sndcdn.com/avatars-000037692084-mhu1jc-large.jpg,False,2018-12-17T05:44:18Z,user
Ilonka Obilinovic,Ilonka Obilinovic,60894619,Santiago,CL,34029,https://soundcloud.com/ilonka-obilinovic,https://i1.sndcdn.com/avatars-000088162262-wfr4b1-large.jpg,True,2020-11-22T13:51:20Z,user
Paz Véliz~,Paz~ Véliz,49615401,antofagasta,CL,3348,https://soundcloud.com/pazveliz,https://i1.sndcdn.com/avatars-TbOv031d1bV2C9yS-HEyHHw-large.jpg,False,2020-11-04T03:40:33Z,user
Ilonka Obilinovic,Ilonka Obilinovic,60894619,Santiago,CL,34029,https://soundcloud.com/ilonka-obilinovic,https://i1.sndcdn.com/avatars-000088162262-wfr4b1-large.jpg,True,2020-11-22T13:51:20Z,user
Carmi Mejía,Carmi Mejía,31315909,,MX,342,https://soundcloud.com/carmi-mej-a,https://i1.sndcdn.com/avatars-000286523888-9lbaca-large.jpg,False,2016-12-28T03:51:55Z,user
Alex,Yuri -chan,132171568,Rio Negro,AR,1168,https://soundcloud.com/ailen-cardenas,https://i1.sndcdn.com/avatars-000201636951-mo247d-large.jpg,False,2016-02-12T19:21:05Z,user
Marcus Mauriccio,Marcus Mauriccio,50388652,,,26,https://soundcloud.com/marcus-mauriccio,https://i1.sndcdn.com/avatars-000057707863-t7yodd-large.jpg,False,2013-10-18T02:01:12Z,user
KagamineTwinsFD,,32260074,,,4711,https://soundcloud.com/kagaminetwinsfd,https://i1.sndcdn.com/avatars-000181390815-u88uos-large.jpg,False,2020-11-02T15:40:59Z,user
Tricker,Gino Sciaraffia,104849474,Santiago,CL,5067,https://soundcloud.com/tricker_anisong,https://i1.sndcdn.com/avatars-000432431829-ayr3p3-large.jpg,False,2018-04-18T01:06:16Z,user
Carmi Mejía,Carmi Mejía,31315909,,MX,342,https://soundcloud.com/carmi-mej-a,https://i1.sndcdn.com/avatars-000286523888-9lbaca-large.jpg,False,2016-12-28T03:51:55Z,user
Ilonka Obilinovic,Ilonka Obilinovic,60894619,Santiago,CL,34029,https://soundcloud.com/ilonka-obilinovic,https://i1.sndcdn.com/avatars-000088162262-wfr4b1-large.jpg,True,2020-11-22T13:51:20Z,user
Ilonka Obilinovic,Ilonka Obilinovic,60894619,Santiago,CL,34029,https://soundcloud.com/ilonka-obilinovic,https://i1.sndcdn.com/avatars-000088162262-wfr4b1-large.jpg,True,2020-11-22T13:51:20Z,user
Kanade Fandubs,,150480730,,,41,https://soundcloud.com/kanadefandubs,https://i1.sndcdn.com/avatars-000143440626-kfvlza-large.jpg,False,2016-05-01T06:35:06Z,user
